Index,Assembly_Seat,Seat_Type,Constituency_Name,Bhartiya_Janta_Party,Indian_National_Congress,SHS,AIMIM,LKSGM,VBA,BSP,PJP,SWP,STBP,PWPI,RSPS,CPI(M),BVA,SP,MNS,KSP,JSS,Independent,Strong_Party,BJP,INC,,,UBT,Shivsena,NCP,Sharad_Pawar
145,Vikhroli,GEN,Mumbai_North_East,,,62794,,,,,,,,,,,,,,,,,,18838.2,0,,,30769.06,13186.74,0,0
146,Bhandup_West,GEN,Mumbai_North_East,,,71955,,,,,,,,,,,,,42782,,,,,21586.5,0,,,35257.95,15110.55,0,0
147,Ghatkopar_West,GEN,Mumbai_North_East,70263,,,,,,,,,,,,,,,,,,41474,,49184.1,0,,,14755.23,6323.67,0,0
148,Ghatkopar_East,GEN,Mumbai_North_East,73054,,,,,,,,,,,,,,,,,,,BJP,51137.8,0,,,15341.34,6574.86,0,0
149,Mankhurd_Shivaji_Nagar,GEN,Mumbai_North_East,,,43481,,,,,,,,,,,,69082,,,,,,13044.3,0,,,21305.69,9131.01,0,0
150,Jogeshwari_East,GEN,Mumbai_North_West,,,90654,,,,,,,,,,,,,,,,,SHS,27196.2,0,,,44420.46,19037.34,0,0
151,Dindoshi,GEN,Mumbai_North_West,,,82203,,,,,,,,,,,,,,,,,SHS,24660.9,0,,,40279.47,17262.63,0,0
152,Goregaon,GEN,Mumbai_North_West,81233,,,,,,,,,,,,,,,,,,,BJP,56863.1,0,,,17058.93,7310.97,0,0
153,Versova,GEN,Mumbai_North_West,41057,35871,,,,,,,,,,,,,,,,,32706,,28739.9,25109.7,,,8621.97,3695.13,3228.39,7532.91
154,Andheri_West,GEN,Mumbai_North_West,65615,45653,,,,,,,,,,,,,,,,,,,45930.5,31957.1,,,13779.15,5905.35,4108.77,9587.13
155,Andheri_East,GEN,Mumbai_North_West,,,62773,,,,,,,,,,,,,,,,45808,,18831.9,0,,,30758.77,13182.33,0,0
156,Worli,GEN,Mumbai_South,,,89248,,,,,,,,,,,,,,,,,SHS,26774.4,0,,,43731.52,18742.08,0,0
157,Shivadi,GEN,Mumbai_South,,,77687,,,,,,,,,,,,,,,,,SHS,23306.1,0,,,38066.63,16314.27,0,0
158,Byculla,GEN,Mumbai_South,,,51180,31157,,,,,,,,,,,,,,,,,15354,0,,,25078.2,10747.8,0,0
159,Malabar_Hill,GEN,Mumbai_South,93538,,,,,,,,,,,,,,,,,,,BJP,65476.6,0,,,19642.98,8418.42,0,0
160,Mumbadevi,GEN,Mumbai_South,,58952,35297,,,,,,,,,,,,,,,,,INC,10589.1,41266.4,,,17295.53,7412.37,5305.68,12379.92
161,Colaba,GEN,Mumbai_South,57350,41191,,,,,,,,,,,,,,,,,,BJP,40145,28833.7,,,12043.5,5161.5,3707.19,8650.11
162,Anushakti_Nagar,GEN,Mumbai_South_Central,,,52466,,,,,,,,,,,,,,,,,,15739.8,19565.1,,,25708.34,11017.86,13695.57,31956.33
163,Chembur,GEN,Mumbai_South_Central,,34246,53264,,,,,,,,,,,,,,,,,,15979.2,23972.2,,,26099.36,11185.44,3082.14,7191.66
164,Dharavi,SC,Mumbai_South_Central,,53954,42130,,,,,,,,,,,,,,,,,,12639,37767.8,,,20643.7,8847.3,4855.86,11330.34
165,Sion_Koliwada,GEN,Mumbai_South_Central,54845,40894,,,,,,,,,,,,,,,,,,,38391.5,28625.8,,,11517.45,4936.05,3680.46,8587.74
166,Wadala,GEN,Mumbai_South_Central,56485,,,,,,,,,,,,,,,,,,,BJP,39539.5,0,,,11861.85,5083.65,0,0
167,Mahim,GEN,Mumbai_South_Central,,,61337,,,,,,,,,,,,,42690,,,,,18401.1,0,,,30055.13,12880.77,0,0
168,Nagpur_South_West,GEN,Nagpur,109237,59893,,,,,,,,,,,,,,,,,,BJP,76465.9,41925.1,,,22939.77,9831.33,5390.37,12577.53
169,Nagpur_South,GEN,Nagpur,84339,80326,,,,,,,,,,,,,,,,,,,59037.3,56228.2,,,17711.19,7590.51,7229.34,16868.46
170,Nagpur_East,GEN,Nagpur,103992,79975,,,,,,,,,,,,,,,,,,BJP,72794.4,55982.5,,,21838.32,9359.28,7197.75,16794.75
171,Nagpur_Central,GEN,Nagpur,75692,71684,,,,,,,,,,,,,,,,,,,52984.4,50178.8,,,15895.32,6812.28,6451.56,15053.64
172,Nagpur_West,GEN,Nagpur,76885,83252,,,,,,,,,,,,,,,,,,,53819.5,58276.4,,,16145.85,6919.65,7492.68,17482.92
173,Nagpur_North,SC,Nagpur,66127,86821,,,,,,,,,,,,,,,,,,,46288.9,60774.7,,,13886.67,5951.43,7813.89,18232.41
174,Bhokar,GEN,Nanded,,140559,,,,,,,,,,,,,,,,,,INC,0,98391.3,,,0,0,12650.31,29517.39
175,Nanded_North,GEN,Nanded,,50778,62884,,,,,,,,,,,,,,,,,,18865.2,35544.6,,,30813.16,13205.64,4570.02,10663.38
176,Nanded_South,GEN,Nanded,,46943,37066,,,,,,,,,,,,,,,,43351,,11119.8,32860.1,,,18162.34,7783.86,4224.87,9858.03
177,Naigaon,GEN,Nanded,117750,63366,,,,,,,,,,,,,,,,,,BJP,82425,44356.2,,,24727.5,10597.5,5702.94,13306.86
178,Deglur,SC,Nanded,66907,108840,,,,,,,,,,,,,,,,,,INC,46834.9,76188,,,14050.47,6021.63,9795.6,22856.4
179,Mukhed,GEN,Nanded,102573,70710,,,,,,,,,,,,,,,,,,BJP,71801.1,49497,,,21540.33,9231.57,6363.9,14849.1
180,Akkalkuwa,ST,Nandurbar,,82770,80674,,,,,,,,,,,,,,,,,,24202.2,57939,,,39530.26,16941.54,7449.3,17381.7
181,Shahada,ST,Nandurbar,94931,86940,,,,,,,,,,,,,,,,,,,66451.7,60858,,,19935.51,8543.79,7824.6,18257.4
182,Nandurbar,ST,Nandurbar,121605,,,,,,,,,,,,,,,,,,,BJP,85123.5,0,,,25537.05,10944.45,0,0
183,Navapur,ST,Nandurbar,58579,74652,,,,,,,,,,,,,,,,,63317,,41005.3,52256.4,,,12301.59,5272.11,6718.68,15676.92
184,Sakri,ST,Nandurbar,68901,,,,,,,,,,,,,,,,,,76166,,48230.7,0,,,14469.21,6201.09,0,0
185,Shirpur,ST,Nandurbar,120403,,,,,,,,,,,,,,,,,,71229,BJP,84282.1,0,,,25284.63,10836.27,0,0
186,Sinnar,GEN,Nashik,,,94939,,,,,,,,,,,,,,,,,,28481.7,29103.3,,,46520.11,19937.19,20372.31,47535.39
187,Nashik_East,GEN,Nashik,86304,,,,,,,,,,,,,,,,,,,,60412.8,22291.2,,,18123.84,7767.36,15603.84,36408.96
188,Nashik_Central,GEN,Nashik,73460,45062,,,,,,,,,,,,,,,,,,,51422,31543.4,,,15426.6,6611.4,4055.58,9463.02
189,Nashik_West,GEN,Nashik,78041,,,,,,,,,,,,,,,,,,,,54628.7,20488.5,,,16388.61,7023.69,14341.95,33464.55
190,Deolali,SC,Nashik,,,42624,,,,,,,,,,,,,,,,,NCP,12787.2,25297.8,,,20885.76,8951.04,17708.46,41319.74
191,Igatpuri,ST,Nashik,,86561,55006,,,,,,,,,,,,,,,,,INC,16501.8,60592.7,,,26952.94,11551.26,7790.49,18177.81
192,Ausa,GEN,Osmanabad,95340,68626,,,,,,,,,,,,,,,,,,BJP,66738,48038.2,,,20021.4,8580.6,6176.34,14411.46
193,Umarga,SC,Osmanabad,,61187,86773,,,,,,,,,,,,,,,,,SHS,26031.9,42830.9,,,42518.77,18222.33,5506.83,12849.27
194,Tuljapur,GEN,Osmanabad,99034,75865,,,,,,,,,,,,,,,,,,,69323.8,53105.5,,,20797.14,8913.06,6827.85,15931.65
195,Osmanabad,GEN,Osmanabad,,,87488,,,,,,,,,,,,,,,,,,26246.4,22206.3,,,42869.12,18372.48,15544.41,36270.29
196,Paranda,GEN,Osmanabad,,,106674,,,,,,,,,,,,,,,,,SHS,32002.2,22131.6,,,52270.26,22401.54,15492.12,36148.28
197,Barshi,GEN,Osmanabad,,,92406,,,,,,,,,,,,,,,,95482,,27721.8,0,,,45278.94,19405.26,0,0
198,Dahanu,ST,Palghar,67407,,,,,,,,,,,,72114,,,,,,,,47184.9,0,,,14155.47,6066.63,0,0
199,Vikramgad,ST,Palghar,67026,,,,,,,,,,,,,,,,,,,,46918.2,26527.5,,,14075.46,6032.34,18569.25,43328.25
200,Palghar,ST,Palghar,,,68040,,,,,,,,,,,,,,,,,SHS,20412,0,,,33339.6,14288.4,0,0
201,Boisar,ST,Palghar,,,75951,,,,,,,,,,,78703,,,,,,,22785.3,0,,,37215.99,15949.71,0,0
202,Nalasopara,GEN,Palghar,,,106139,,,,,,,,,,,149868,,,,,,BVA,31841.7,0,,,52008.11,22289.19,0,0
203,Vasai,GEN,Palghar,,,76955,,,,,,,,,,,102950,,,,,,BVA,23086.5,0,,,37707.95,16160.55,0,0
204,Jintur,GEN,Parbhani,116913,,,,,,,,,,,,,,,,,,,,81839.1,33958.8,,,24551.73,10522.17,23771.16,55466.04
205,Parbhani,GEN,Parbhani,,,104584,,,,,,,,,,,,,,,,,SHS,31375.2,0,,,51246.16,21962.64,0,0
206,Gangakhed,GEN,Parbhani,,,63111,,,,,,,,,81169,,,,,,,52247,,18933.3,0,,,30924.39,13253.31,0,0
207,Pathri,GEN,Parbhani,90851,105625,,,,,,,,,,,,,,,,,,,63595.7,73937.5,,,19078.71,8176.59,9506.25,22181.25
208,Partur,GEN,Parbhani,106321,80379,,,,,,,,,,,,,,,,,,BJP,74424.7,56265.3,,,22327.41,9568.89,7234.11,16879.59
209,Ghansawangi,GEN,Parbhani,,,104440,,,,,,,,,,,,,,,,,,31332,32354.7,,,51175.6,21932.4,22648.29,52846.01
210,Vadgaon_Sheri,GEN,Pune,92725,,,,,,,,,,,,,,,,,,,,64907.5,29310,,,19472.25,8345.25,20517,47873
211,Shivajinagar,GEN,Pune,58727,53603,,,,,,,,,,,,,,,,,,,41108.9,37522.1,,,12332.67,5285.43,4824.27,11256.63
212,Kothrud,GEN,Pune,105246,,,,,,,,,,,,,,,79751,,,,BJP,73672.2,0,,,22101.66,9472.14,0,0
213,Parvati,GEN,Pune,97012,,,,,,,,,,,,,,,,,,,BJP,67908.4,18073.5,,,20372.52,8731.08,12651.45,29520.05
214,Pune_Cantonment,SC,Pune,52160,47148,,,,,,,,,,,,,,,,,,,36512,33003.6,,,10953.6,4694.4,4243.32,9901.08
215,Kasba_Peth,GEN,Pune,62394,73309,,,,,,,,,,,,,,,,,,INC,43675.8,51316.3,,,13102.74,5615.46,6597.81,15394.89
216,Pen,GEN,Raigad,112380,,,,,,,,,,88329,,,,,,,,,BJP,78666,0,,,23599.8,10114.2,0,0
217,Alibag,GEN,Raigad,,,111946,,,,,,,,79022,,,,,,,,,SHS,33583.8,0,,,54853.54,23508.66,0,0
218,Shrivardhan,GEN,Raigad,,,52453,,,,,,,,,,,,,,,,,NCP,15735.9,27622.2,,,25701.97,11015.13,19335.54,45116.26
219,Mahad,GEN,Raigad,,80898,102273,,,,,,,,,,,,,,,,,SHS,30681.9,56628.6,,,50113.77,21477.33,7280.82,16988.58
220,Dapoli,GEN,Raigad,,,95364,,,,,,,,,,,,,,,,,SHS,28609.2,24535.8,,,46728.36,20026.44,17175.06,40075.14
221,Guhagar,GEN,Raigad,,,78748,,,,,,,,,,,,,,,,,SHS,23624.4,15689.1,,,38586.52,16537.08,10982.37,25625.53
222,Katol,GEN,Ramtek,79785,,,,,,,,,,,,,,,,,,,NCP,55849.5,29052.6,,,16754.85,7180.65,20336.82,47452.58
223,Savner,GEN,Ramtek,86893,113184,,,,,,,,,,,,,,,,,,INC,60825.1,79228.8,,,18247.53,7820.37,10186.56,23768.64
224,Hingna,GEN,Ramtek,121305,,,,,,,,,,,,,,,,,,,BJP,84913.5,22541.4,,,25474.05,10917.45,15778.98,36817.62
225,Umred,SC,Ramtek,73939,91968,,,,,,,,,,,,,,,,,,,51757.3,64377.6,,,15527.19,6654.51,8277.12,19313.28
226,Kamthi,GEN,Ramtek,118182,107066,,,,,,,,,,,,,,,,,,,82727.4,74946.2,,,24818.22,10636.38,9635.94,22483.86
227,Ramtek,GEN,Ramtek,43006,,,,,,,,,,,,,,,,,,67419,,30104.2,0,,,9031.26,3870.54,0,0
228,Chiplun,GEN,Ratnagiri-Sindhudurg,,,71654,,,,,,,,,,,,,,,,,NCP,21496.2,30473.4,,,35110.46,15047.34,21331.38,49773.22
229,Ratnagiri,GEN,Ratnagiri-Sindhudurg,,,118484,,,,,,,,,,,,,,,,,SHS,35545.2,0,,,58057.16,24881.64,0,0
230,Rajapur,GEN,Ratnagiri-Sindhudurg,,53557,65433,,,,,,,,,,,,,,,,,,19629.9,37489.9,,,32062.17,13740.93,4820.13,11246.97
231,Kankavli,GEN,Ratnagiri-Sindhudurg,84504,,56388,,,,,,,,,,,,,,,,,BJP,59152.8,0,,,27630.12,11841.48,0,0
232,Kudal,GEN,Ratnagiri-Sindhudurg,,,69168,,,,,,,,,,,,,,,,54819,,20750.4,0,,,33892.32,14525.28,0,0
233,Sawantwadi,GEN,Ratnagiri-Sindhudurg,,,69784,,,,,,,,,,,,,,,,56556,,20935.2,0,,,34194.16,14654.64,0,0
234,Chopda,ST,Raver,,,78137,,,,,,,,,,,,,,,,,,23441.1,17282.4,,,38287.13,16408.77,12097.68,28227.92
235,Raver,GEN,Raver,62335,77941,,,,,,,,,,,,,,,,,,,43634.5,54558.7,,,13090.35,5610.15,7014.69,16367.61
236,Bhusawal,SC,Raver,81689,,,,,,,,,,,,,,,,,,,BJP,57182.3,0,,,17154.69,7352.01,0,0
237,Jamner,GEN,Raver,114714,,,,,,,,,,,,,,,,,,,BJP,80299.8,23910,,,24089.94,10324.26,16737,39053
238,Muktainagar,GEN,Raver,89135,,,,,,,,,,,,,,,,,,91092,,62394.5,0,,,18718.35,8022.15,0,0
239,Malkapur,GEN,Raver,71892,86276,,,,,,,,,,,,,,,,,,,50324.4,60393.2,,,15097.32,6470.28,7764.84,18117.96
240,Miraj,SC,Sangli,96369,,,,,,,,65971,,,,,,,,,,,BJP,67458.3,0,,,20237.49,8673.21,0,0
241,Sangli,GEN,Sangli,93636,86697,,,,,,,,,,,,,,,,,,,65545.2,60687.9,,,19663.56,8427.24,7802.73,18206.37
242,Palus-Kadegaon,GEN,Sangli,,171497,,,,,,,,,,,,,,,,,,INC,0,120047.9,,,0,0,15434.73,36014.37
243,Khanapur,GEN,Sangli,,,116974,,,,,,,,,,,,,,,,90683,SHS,35092.2,0,,,57317.26,24564.54,0,0
244,Tasgaon-Kavathe_Mahankal,GEN,Sangli,,,65839,,,,,,,,,,,,,,,,,NCP,19751.7,38511.3,,,32261.11,13826.19,26957.91,62901.79
245,Jat,GEN,Sangli,52510,87184,,,,,,,,,,,,,,,,,,INC,36757,61028.8,,,11027.1,4725.9,7846.56,18308.64
246,Wai,GEN,Satara,86839,,,,,,,,,,,,,,,,,,,NCP,60787.3,39145.8,,,18236.19,7815.51,27402.06,63938.14
247,Koregaon,GEN,Satara,,,101487,,,,,,,,,,,,,,,,,,30446.1,28576.5,,,49728.63,21312.27,20003.55,46674.95
248,Man,GEN,Satara,91469,,,,,,,,,,,,,,,,,,88426,,64028.3,0,,,19208.49,8232.21,0,0
249,Karad_North,GEN,Satara,,,,,,,,,,,,,,,,,,,51294,NCP,0,30152.7,,,0,0,21106.89,49249.41
250,Karad_South,GEN,Satara,83166,92296,,,,,,,,,,,,,,,,,,,58216.2,64607.2,,,17464.86,7484.94,8306.64,19382.16
251,Patan,GEN,Satara,,,106266,,,,,,,,,,,,,,,,,SHS,31879.8,27627.3,,,52070.34,22315.86,19339.11,45124.59
252,Satara,GEN,Satara,118005,,,,,,,,,,,,,,,,,,,BJP,82603.5,22374.3,,,24781.05,10620.45,15662.01,36544.69
253,Akole,ST,Shirdi,55725,,,,,,,,,,,,,,,,,,,NCP,39007.5,34024.2,,,11702.25,5015.25,23816.94,55572.86
254,Sangamner,GEN,Shirdi,,125380,63128,,,,,,,,,,,,,,,,,INC,18938.4,87766,,,30932.72,13256.88,0,0
255,Shirdi,GEN,Shirdi,132316,,,,,,,,,,,,,,,,,,,BJP,92621.2,0,,,27786.36,11908.44,0,0
256,Kopargaon,GEN,Shirdi,86744,,,,,,,,,,,,,,,,,,,,60720.8,26269.8,,,18216.24,7806.96,18388.86,42907.34
257,Shrirampur,SC,Shirdi,,93906,74912,,,,,,,,,,,,,,,,,,22473.6,65734.2,,,36706.88,15731.52,8451.54,19720.26
258,Nevasa,GEN,Shirdi,86280,,,,,,,,,,,,,,,,116943,,,KSP,60396,0,,,18118.8,7765.2,0,0
259,Junnar,GEN,Shirur,,,65890,,,,,,,,,,,,,,,,50041,,19767,22487.4,,,32286.1,13836.9,15741.18,36729.42
260,Ambegaon,GEN,Shirur,,,59345,,,,,,,,,,,,,,,,,NCP,17803.5,36936,,,29079.05,12462.45,25855.2,60328.8
261,Khed_Alandi,GEN,Shirur,,,63624,,,,,,,,,,,,,,,,,,19087.2,29059.8,,,31175.76,13361.04,20341.86,47464.34
262,Shirur,GEN,Shirur,103627,,,,,,,,,,,,,,,,,,,NCP,72538.9,43539.3,,,21761.67,9326.43,30477.51,71114.19
263,Bhosari,GEN,Shirur,159295,,,,,,,,,,,,,,,,,,81728,BJP,111506.5,0,,,33451.95,14336.55,0,0
264,Hadapsar,GEN,Shirur,89506,,,,,,,,,,,,,,,,,,,,62654.2,27697.8,,,18796.26,8055.54,19388.46,45239.74
265,Mohol,SC,Solapur,,,68833,,,,,,,,,,,,,,,,,,20649.9,27159.6,,,33728.17,14454.93,19011.72,44360.68
266,Solapur_City_North,GEN,Solapur,96529,,,,,,,,,,,,,,,,,,,BJP,67570.3,0,,,20271.09,8687.61,0,0
267,Solapur_City_Central,GEN,Solapur,,51440,,38721,,,,,,,,,,,,,,,,,0,36008,,,0,0,4629.6,10802.4
268,Akkalkot,GEN,Solapur,119437,82668,,,,,,,,,,,,,,,,,,BJP,83605.9,57867.6,,,25081.77,10749.33,7440.12,17360.28
269,Solapur_South,GEN,Solapur,87223,57976,,,,,,,,,,,,,,,,,,BJP,61056.1,40583.2,,,18316.83,7850.07,5217.84,12174.96
270,Pandharpur,GEN,Solapur,109450,,,,,,,,,,,,,,,,,,,,76615,31715.1,,,22984.5,9850.5,22200.57,51801.33
271,Mira_Bhayandar,GEN,Thane,64049,55939,,,,,,,,,,,,,,,,,79575,,44834.3,39157.3,,,13450.29,5764.41,5034.51,11747.19
272,Ovala-Majiwada,GEN,Thane,,,117593,,,,,,,,,,,,,,,,,SHS,35277.9,0,,,57620.57,24694.53,0,0
273,Kopri-Pachpakhadi,GEN,Thane,,,113497,,,,,,,,,,,,,,,,,SHS,34049.1,0,,,55613.53,23834.37,0,0
274,Thane,GEN,Thane,92298,,,,,,,,,,,,,,,72874,,,,BJP,64608.6,0,,,19382.58,8306.82,0,0
275,Airoli,GEN,Thane,114645,,,,,,,,,,,,,,,,,,,BJP,80251.5,0,,,24075.45,10318.05,0,0
276,Belapur,GEN,Thane,87858,,,,,,,,,,,,,,,,,,,BJP,61500.6,13278.3,,,18450.18,7907.22,9294.81,21687.89
277,Dhamangaon_Railway,GEN,Wardha,90832,81313,,,,,,,,,,,,,,,,,,,63582.4,56919.1,,,19074.72,8174.88,7318.17,17075.73
278,Morshi,GEN,Wardha,,86361,,,,,,,96152,,,,,,,,,,,SWP,0,60452.7,,,0,0,7772.49,18135.81
279,Arvi,GEN,Wardha,87318,74851,,,,,,,,,,,,,,,,,,,61122.6,52395.7,,,18336.78,7858.62,6736.59,15718.71
280,Deoli,GEN,Wardha,,75345,,,,,,,,,,,,,,,,,39541,,0,52741.5,,,0,0,6781.05,15822.45
281,Hinganghat,GEN,Wardha,103585,,,,,,,,,,,,,,,,,,,BJP,72509.5,15939,,,21752.85,9322.65,11157.3,26033.7
282,Wardha,GEN,Wardha,79739,71806,,,,,,,,,,,,,,,,,,,55817.3,50264.2,,,16745.19,7176.51,6462.54,15079.26
283,Washim,SC,Yavatmal-Washim,66159,,,,,52464,,,,,,,,,,,,,45407,,46311.3,0,,,13893.39,5954.31,0,0
284,Karanja,GEN,Yavatmal-Washim,73205,,,,,,41907,,,,,,,,,,,,,,51243.5,15144.3,,,15373.05,6588.45,10601.01,24735.69
285,Ralegaon,ST,Yavatmal-Washim,90823,80948,,,,,,,,,,,,,,,,,,,63576.1,56663.6,,,19072.83,8174.07,7285.32,16999.08
286,Yavatmal,GEN,Yavatmal-Washim,80425,48172,,,,,,,,,,,,,,,,,,,56297.5,33720.4,,,16889.25,7238.25,4335.48,10116.12
287,Digras,GEN,Yavatmal-Washim,,,136824,,,,,,,,,,,,,,,,73217,SHS,41047.2,0,,,67043.76,28733.04,0,0
288,Pusad,GEN,Yavatmal-Washim,79442,,,,,,,,,,,,,,,,,,,,55609.4,26742.9,,,16682.82,7149.78,18720.03,43680.07
