Index,Constituency_Name,Seat_Type,BJP,TMC,ALL_INDIA_FORWARD_BLOCK,INC,Revolutionary_Socialist_Party,CPM,Strong_Party
2,aalipurduars,st,750804,506815,0,27147,54010,0,BJP
29,arambagh,sc,648787,649929,0,0,0,100520,0
40,asansola,gen,633378,435741,0,0,0,87608,BJP
10,baharampur,gen,143038,510410,0,591147,0,0,0
6,balurghat,gen,539317,506024,0,36783,72990,0,0
14,bangaon,sc,687622,576028,0,0,0,90122,0
36,bankuraa,gen,675319,500986,0,0,0,100282,0
17,barasat,gen,538275,648444,124068,0,0,0,0
38,bardhaman purba,sc,551523,640834,0,0,0,175920,0
39,bardhamanâ€“durgapur,gen,598376,595937,0,0,0,161329,0
15,barrackpore,gen,472994,458137,0,0,0,117456,0
18,basirhata,gen,431709,782078,0,104183,0,68316,tmc
42,birbhum,gen,565153,654070,0,0,0,96763,0
37,bishnupur,sc,657019,578972,0,0,0,102615,0
41,bolpura,sc,592769,699172,0,0,0,91964,0
1,cooch behar,sc,731594,677363,46648,28215,0,0,0
4,darjeeling,gen,750067,336624,0,65186,0,50524,BJP
21,diamond harbour,gen,470533,791127,0,0,0,93941,tmc
16,dum duma,gen,459063,512062,0,0,0,167590,0
32,ghatala,gen,609986,717959,0,0,0,97062,0
28,hooghly,gen,671448,598086,0,0,0,121588,0
25,howraha,gen,473016,576711,0,0,0,105547,0
22,jadavpur,gen,393233,688472,0,0,0,302264,0
3,jalpaiguri,sc,760145,576141,0,28488,0,76054,BJP
9,jangipur,gen,317056,562838,0,255836,0,95501,0
19,jaynagara,sc,444427,761206,0,0,67193,0,BJP
33,jhargram,st,626583,614816,0,0,0,75680,0
31,kanthia,gen,600204,711872,0,0,0,76185,0
23,kolkata dakshin,gen,417927,573119,0,0,0,140275,0
24,kolkata uttara,gen,347796,474891,0,0,0,71080,0
12,krishnanagara,gen,551654,614872,0,0,0,120222,0
8,maldaha dakshin,gen,436048,351353,0,444270,0,0,0
7,maldaha uttar,gen,509524,425236,0,305270,0,50401,0
20,mathurapur,sc,522854,726828,0,0,0,92417,tmc
34,medinipura,gen,685433,596481,0,0,0,62319,0
11,murshidabad,gen,247809,604346,0,377929,0,180793,0
35,purulia,gen,668107,463375,68464,84477,0,0,0
5,raiganja,gen,511652,451078,0,0,0,183039,0
13,ranaghat,sc,783254,549825,0,0,0,97771,BJP
27,serampore,gen,539171,637707,0,0,0,152281,0
30,tamluk,gen,534268,724433,0,0,0,136129,tmc
26,uluberia ,gen,479586,694945,0,0,0,81314,tmc
